policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,risk_threshold,pre_event_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v4,f1
risk_0.850_or_pre_0.990,validation,row,169,0.5,0.230769230769,0.041958041958,6,6,20,137,61.7793277008,0.85,0.99,3,2,0.666666666667,False,0.315789473684
risk_0.850_or_pre_0.990,holdout,row,183,0.842105263158,0.623376623377,0.0849056603774,48,9,29,97,65.7298480402,0.85,0.99,8,7,0.875,False,0.716417910448
risk_0.850_or_pre_0.995,train,row,900,0.776595744681,0.334862385321,0.0307917888563,73,21,145,661,54.3770917387,0.85,0.995,21,13,0.619047619048,False,0.467948717949
risk_0.850_or_pre_0.995,validation,row,169,0.375,0.115384615385,0.034965034965,3,5,23,138,61.7793277008,0.85,0.995,3,1,0.333333333333,False,0.176470588235
risk_0.850_or_pre_0.995,holdout,row,183,0.854545454545,0.61038961039,0.0754716981132,47,8,30,98,65.7298480402,0.85,0.995,8,7,0.875,False,0.712121212121
risk_0.880_or_pre_0.950,train,row,900,0.494047619048,0.380733944954,0.124633431085,83,85,135,597,54.3770917387,0.88,0.95,21,16,0.761904761905,False,0.430051813472
risk_0.880_or_pre_0.950,validation,row,169,0.421052631579,0.307692307692,0.0769230769231,8,11,18,132,61.7793277008,0.88,0.95,3,2,0.666666666667,False,0.355555555556
risk_0.880_or_pre_0.950,holdout,row,183,0.753846153846,0.636363636364,0.150943396226,49,16,28,90,65.7298480402,0.88,0.95,8,7,0.875,False,0.69014084507
risk_0.880_or_pre_0.970,train,row,900,0.539007092199,0.348623853211,0.0953079178886,76,65,142,617,54.3770917387,0.88,0.97,21,14,0.666666666667,False,0.423398328691
risk_0.880_or_pre_0.970,validation,row,169,0.466666666667,0.269230769231,0.0559440559441,7,8,19,135,61.7793277008,0.88,0.97,3,2,0.666666666667,False,0.341463414634
risk_0.880_or_pre_0.970,holdout,row,183,0.761904761905,0.623376623377,0.141509433962,48,15,29,91,65.7298480402,0.88,0.97,8,7,0.875,False,0.685714285714
risk_0.880_or_pre_0.975,train,row,900,0.549618320611,0.330275229358,0.0865102639296,72,59,146,623,54.3770917387,0.88,0.975,21,14,0.666666666667,False,0.412607449857
risk_0.880_or_pre_0.975,validation,row,169,0.5,0.269230769231,0.048951048951,7,7,19,136,61.7793277008,0.88,0.975,3,2,0.666666666667,False,0.35
