candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
15,validation,120,0.04,63,4,20,0.85,0.7,0.5,1.0,,143,0.5244755244755245,0.3680555555555556,0.46940559440559443,0.7902097902097902,0.6013986013986014
15,holdout,120,0.04,63,4,20,0.85,0.7,0.5,1.0,,86,0.6046511627906976,0.391170634920635,0.5841258305647841,0.9651162790697675,0.43023255813953487
16,validation,180,0.04,31,5,5,1.0,0.7,0.0,2.0,,143,0.4195804195804196,0.2931658100133257,0.38383660885088644,0.7902097902097902,0.7202797202797203
16,holdout,180,0.04,31,5,5,1.0,0.7,0.0,2.0,,86,0.5697674418604651,0.37147595356550583,0.5543214161749392,0.9651162790697675,0.46511627906976744
17,validation,180,0.06,7,3,45,1.0,0.7,0.1,2.0,,143,0.42657342657342656,0.3061635220125786,0.3875603641641378,0.7902097902097902,0.6853146853146853
17,holdout,180,0.06,7,3,45,1.0,0.7,0.1,2.0,,86,0.6046511627906976,0.40889513108614234,0.5977430101907499,0.9651162790697675,0.43023255813953487
18,validation,320,0.06,15,4,10,0.85,1.0,0.1,5.0,,143,0.4755244755244755,0.3446444625645529,0.42982057145012675,0.7902097902097902,0.6363636363636364
18,holdout,320,0.06,15,4,10,0.85,1.0,0.1,5.0,,86,0.6046511627906976,0.391170634920635,0.5841258305647841,0.9651162790697675,0.43023255813953487
19,validation,450,0.04,15,3,10,0.7,1.0,0.0,5.0,,143,0.43356643356643354,0.3125300549875598,0.3936892311727663,0.7902097902097902,0.6783216783216783
19,holdout,450,0.04,15,3,10,0.7,1.0,0.0,5.0,,86,0.5930232558139535,0.387962150034143,0.5774138881515813,0.9651162790697675,0.4418604651162791
20,validation,120,0.015,63,3,45,0.85,0.7,0.5,0.5,balanced,143,0.4195804195804196,0.31343740434649525,0.3778150224431216,0.7902097902097902,0.7342657342657343
20,holdout,120,0.015,63,3,45,0.85,0.7,0.5,0.5,balanced,86,0.6627906976744186,0.4480075011720581,0.6544794426454715,0.9651162790697675,0.37209302325581395
21,validation,450,0.025,7,3,20,0.7,1.0,0.1,5.0,balanced,143,0.45454545454545453,0.3383588679322061,0.40965199727331203,0.7902097902097902,0.6783216783216783
21,holdout,450,0.025,7,3,20,0.7,1.0,0.1,5.0,balanced,86,0.6395348837209303,0.4336415429158495,0.6313930682166198,0.9651162790697675,0.3953488372093023
22,validation,180,0.04,7,3,20,0.85,1.0,0.5,0.5,balanced,143,0.46853146853146854,0.34577908785720135,0.4247972612010932,0.7902097902097902,0.6573426573426573
22,holdout,180,0.04,7,3,20,0.85,1.0,0.5,0.5,balanced,86,0.6627906976744186,0.4497665732959851,0.6535079147938245,0.9651162790697675,0.37209302325581395
23,validation,450,0.06,31,-1,20,0.85,0.7,0.5,5.0,balanced,143,0.40559440559440557,0.30030176983932794,0.3699056021052596,0.7902097902097902,0.7272727272727273
23,holdout,450,0.06,31,-1,20,0.85,0.7,0.5,5.0,balanced,86,0.6744186046511628,0.4570600878422577,0.6657636865061514,0.9651162790697675,0.36046511627906974
24,validation,450,0.015,31,3,20,1.0,0.7,0.1,1.0,balanced,143,0.44755244755244755,0.3309050096928885,0.4085286002641375,0.7902097902097902,0.6923076923076923
24,holdout,450,0.015,31,3,20,1.0,0.7,0.1,1.0,balanced,86,0.6627906976744186,0.44986449864498645,0.6524862923047835,0.9651162790697675,0.37209302325581395
25,validation,320,0.015,31,-1,30,0.7,1.0,0.1,2.0,,143,0.4965034965034965,0.35129352266096087,0.4444347716084732,0.7902097902097902,0.6083916083916084
25,holdout,320,0.015,31,-1,30,0.7,1.0,0.1,2.0,,86,0.6511627906976745,0.4329004329004329,0.638477801268499,0.9651162790697675,0.38372093023255816
