model,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
isolation_forest,validation,300,auto,1.0,False,0.92,0.5000801561328243,0.6127537434726977,0.46715291957309,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,300,auto,1.0,False,0.92,0.5000801561328243,0.7152363667790166,0.6929799703112345,1.0,0.19548872180451127,0.3270440251572327,0.0,26,26,0,133,394
isolation_forest,validation,300,auto,1.0,False,0.95,0.5160815367097453,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,1.0,False,0.95,0.5160815367097453,0.7152363667790166,0.6929799703112345,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
isolation_forest,validation,300,auto,1.0,False,0.99,0.5357784270858823,0.6127537434726977,0.46715291957309,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,1.0,False,0.99,0.5357784270858823,0.7152363667790166,0.6929799703112345,1.0,0.12781954887218044,0.22666666666666666,0.0,17,17,0,133,394
isolation_forest,validation,300,auto,1.0,True,0.9,0.4990156632867543,0.6310128989867552,0.48699059154754504,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
isolation_forest,holdout,300,auto,1.0,True,0.9,0.4990156632867543,0.7052113041223749,0.6692178996399557,1.0,0.19548872180451127,0.3270440251572327,0.0,26,26,0,133,394
isolation_forest,validation,300,auto,1.0,True,0.92,0.5069843400081719,0.6310128989867552,0.48699059154754504,1.0,0.008403361344537815,0.016666666666666666,0.0,1,1,0,119,362
isolation_forest,holdout,300,auto,1.0,True,0.92,0.5069843400081719,0.7052113041223749,0.6692178996399557,1.0,0.18045112781954886,0.3057324840764331,0.0,24,24,0,133,394
isolation_forest,validation,300,auto,1.0,True,0.95,0.5234516539896924,0.6310128989867552,0.48699059154754504,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,1.0,True,0.95,0.5234516539896924,0.7052113041223749,0.6692178996399557,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
isolation_forest,validation,300,auto,1.0,True,0.99,0.5468367656200472,0.6310128989867552,0.48699059154754504,0.0,0.0,0.0,0.0,0,0,0,119,362
isolation_forest,holdout,300,auto,1.0,True,0.99,0.5468367656200472,0.7052113041223749,0.6692178996399557,1.0,0.11278195488721804,0.20270270270270271,0.0,15,15,0,133,394
isolation_forest,validation,300,0.75,0.75,False,0.9,0.4764044658724034,0.6437735588062385,0.48909467755564173,0.6153846153846154,0.06722689075630252,0.12121212121212122,0.0205761316872428,13,8,5,119,362
isolation_forest,holdout,300,0.75,0.75,False,0.9,0.4764044658724034,0.717310517673494,0.6965292286368232,0.8679245283018868,0.3458646616541353,0.4946236559139785,0.02681992337164751,53,46,7,133,394
isolation_forest,validation,300,0.75,0.75,False,0.92,0.48515483994220304,0.6437735588062385,0.48909467755564173,0.8333333333333334,0.04201680672268908,0.08,0.00411522633744856,6,5,1,119,362
